,proj,tbar_patch_count,tbar_bug_count,recoder_patch_count,recoder_bug_count,selfapr_patch_count,selfapr_bug_count,cure_patch_count,cure_bug_count,alpharepair_patch_count,alpharepair_bug_count,rewardrepair_patch_count,rewardrepair_bug_count,coconut_patch_count,coconut_bug_count,sequencer_patch_count,sequencer_bug_count,simfix_patch_count,simfix_bug_count,edits_patch_count,edits_bug_count
0,chart,145,9,183,9,218,8,195,8,236,9,208,9,201,8,73,3,34,6,21,2
1,cli,342,4,121,5,151,4,164,5,175,5,168,5,128,5,66,4,37,3,13,4
2,closure,836,21,520,20,1049,23,658,21,653,20,864,22,429,20,399,20,671,18,96,14
3,codec,875,8,112,8,394,9,120,7,174,9,328,9,122,6,141,6,66,5,72,6
4,collections,2,1,0,0,41,1,21,1,40,1,9,1,26,1,0,0,0,0,4,1
5,compress,22,3,77,3,203,3,156,3,132,3,148,2,167,3,118,3,29,3,2,1
6,csv,298,5,46,4,172,5,112,5,167,5,271,5,44,4,128,4,27,3,14,3
7,gson,1021,2,125,2,128,2,81,2,91,2,92,2,23,1,57,2,299,2,2,1
8,jacksoncore,438,3,84,3,130,3,102,3,130,3,154,3,107,2,76,2,406,2,6,3
9,jacksondatabind,280,12,196,13,383,13,224,10,251,13,367,13,209,12,157,10,40,9,50,6
10,jacksonxml,0,0,5,1,22,1,5,1,4,1,6,1,1,1,0,0,0,0,1,1
11,jsoup,843,18,296,17,903,18,359,16,462,17,764,20,315,15,402,14,75,11,3,1
12,jxpath,16,1,39,1,12,1,2,1,4,1,29,1,24,1,0,0,3,1,0,0
13,lang,223,10,189,9,375,10,222,10,346,9,424,10,197,8,171,8,663,7,0,0
14,math,966,22,670,22,1197,23,1039,23,743,22,902,23,754,20,673,21,339,15,5,2
15,mockito,52,6,95,4,226,7,126,6,142,7,198,7,68,5,62,5,1,1,0,0
16,time,148,4,40,4,59,4,84,4,22,1,58,3,87,4,22,3,9,3,3,2
